Epoch 000/020: train-loss 14305.0089 | lr 0.005000 | Time 2021-03-09 09:13:13
Epoch 001/020: train-loss 13185.5099 | lr 0.005000 | Time 2021-03-09 09:47:05
Epoch 002/020: train-loss 12843.1374 | lr 0.005000 | Time 2021-03-09 10:20:58
Epoch 003/020: train-loss 12631.5433 | lr 0.005000 | Time 2021-03-09 10:54:56
Epoch 004/020: train-loss 12488.8492 | lr 0.005000 | Time 2021-03-09 11:28:53
Epoch 005/020: train-loss 12382.7938 | lr 0.005000 | Time 2021-03-09 12:02:51
Epoch 006/020: train-loss 12325.7372 | lr 0.005000 | Time 2021-03-09 12:36:45
Epoch 007/020: train-loss 12224.1981 | lr 0.005000 | Time 2021-03-09 13:10:38
Epoch 008/020: train-loss 12196.9225 | lr 0.005000 | Time 2021-03-09 13:44:35
Epoch 009/020: train-loss 12126.8821 | lr 0.005000 | Time 2021-03-09 14:18:28
Epoch 010/020: train-loss 11305.3868 | lr 0.000500 | Time 2021-03-09 14:52:24
Epoch 011/020: train-loss 11150.8616 | lr 0.000500 | Time 2021-03-09 15:26:25
Epoch 012/020: train-loss 11069.1850 | lr 0.000500 | Time 2021-03-09 16:00:35
Epoch 013/020: train-loss 11004.9699 | lr 0.000500 | Time 2021-03-09 16:34:36
Epoch 014/020: train-loss 10952.5533 | lr 0.000500 | Time 2021-03-09 17:08:29
Epoch 015/020: train-loss 10906.5359 | lr 0.000500 | Time 2021-03-09 17:42:21
Epoch 016/020: train-loss 10769.0401 | lr 0.000050 | Time 2021-03-09 18:16:23
Epoch 017/020: train-loss 10749.8223 | lr 0.000050 | Time 2021-03-09 18:50:18
Epoch 018/020: train-loss 10738.7781 | lr 0.000050 | Time 2021-03-09 19:24:08
Epoch 019/020: train-loss 10733.0739 | lr 0.000050 | Time 2021-03-09 19:57:57
