Epoch 000/020: train-loss 15152.9529 | lr 0.005000 | Time 2021-03-10 22:40:50
Epoch 001/020: train-loss 14246.3275 | lr 0.005000 | Time 2021-03-10 23:29:21
Epoch 002/020: train-loss 14015.7729 | lr 0.005000 | Time 2021-03-11 00:17:48
Epoch 003/020: train-loss 13889.4778 | lr 0.005000 | Time 2021-03-11 01:06:20
Epoch 004/020: train-loss 13802.2378 | lr 0.005000 | Time 2021-03-11 01:54:24
Epoch 005/020: train-loss 13752.2970 | lr 0.005000 | Time 2021-03-11 02:42:53
Epoch 006/020: train-loss 13703.0324 | lr 0.005000 | Time 2021-03-11 03:31:21
Epoch 007/020: train-loss 13662.7698 | lr 0.005000 | Time 2021-03-11 04:19:58
Epoch 008/020: train-loss 13638.7517 | lr 0.005000 | Time 2021-03-11 05:08:33
Epoch 009/020: train-loss 13604.0553 | lr 0.005000 | Time 2021-03-11 05:57:10
Epoch 010/020: train-loss 12979.4291 | lr 0.000500 | Time 2021-03-11 06:45:29
Epoch 011/020: train-loss 12864.0032 | lr 0.000500 | Time 2021-03-11 07:33:52
Epoch 012/020: train-loss 12809.8220 | lr 0.000500 | Time 2021-03-11 08:22:15
Epoch 013/020: train-loss 12767.2968 | lr 0.000500 | Time 2021-03-11 09:10:51
Epoch 014/020: train-loss 12733.7430 | lr 0.000500 | Time 2021-03-11 09:59:20
Epoch 015/020: train-loss 12703.0840 | lr 0.000500 | Time 2021-03-11 10:47:41
Epoch 016/020: train-loss 12586.8297 | lr 0.000050 | Time 2021-03-11 11:35:59
Epoch 017/020: train-loss 12565.6825 | lr 0.000050 | Time 2021-03-11 12:24:30
Epoch 018/020: train-loss 12558.4256 | lr 0.000050 | Time 2021-03-11 13:12:57
Epoch 019/020: train-loss 12550.9855 | lr 0.000050 | Time 2021-03-11 14:01:44
