Epoch 000/020: train-loss 15359.8362 | lr 0.005000 | Time 2021-03-11 16:42:51
Epoch 001/020: train-loss 14498.7379 | lr 0.005000 | Time 2021-03-11 17:23:52
Epoch 002/020: train-loss 14295.3489 | lr 0.005000 | Time 2021-03-11 18:05:01
Epoch 003/020: train-loss 14204.0370 | lr 0.005000 | Time 2021-03-11 18:46:00
Epoch 004/020: train-loss 14125.7055 | lr 0.005000 | Time 2021-03-11 19:26:37
Epoch 005/020: train-loss 14068.9914 | lr 0.005000 | Time 2021-03-11 20:07:38
Epoch 006/020: train-loss 14031.6452 | lr 0.005000 | Time 2021-03-11 20:48:49
Epoch 007/020: train-loss 14009.7939 | lr 0.005000 | Time 2021-03-11 21:29:53
Epoch 008/020: train-loss 13979.0338 | lr 0.005000 | Time 2021-03-11 22:10:38
Epoch 009/020: train-loss 13965.8244 | lr 0.005000 | Time 2021-03-11 22:51:54
Epoch 010/020: train-loss 13522.3047 | lr 0.000500 | Time 2021-03-11 23:33:02
Epoch 011/020: train-loss 13452.3039 | lr 0.000500 | Time 2021-03-12 00:14:02
Epoch 012/020: train-loss 13425.5407 | lr 0.000500 | Time 2021-03-12 00:55:04
Epoch 013/020: train-loss 13405.4068 | lr 0.000500 | Time 2021-03-12 01:36:05
Epoch 014/020: train-loss 13386.1445 | lr 0.000500 | Time 2021-03-12 02:17:08
Epoch 015/020: train-loss 13372.6436 | lr 0.000500 | Time 2021-03-12 02:58:20
Epoch 016/020: train-loss 13301.9732 | lr 0.000050 | Time 2021-03-12 03:39:23
Epoch 017/020: train-loss 13293.7936 | lr 0.000050 | Time 2021-03-12 04:20:29
Epoch 018/020: train-loss 13289.8340 | lr 0.000050 | Time 2021-03-12 05:01:26
Epoch 019/020: train-loss 13285.7301 | lr 0.000050 | Time 2021-03-12 05:42:28
