Epoch 000/024: train-loss 14511.0551 | lr 0.005000 | Time 2021-03-03 18:50:38
Epoch 001/024: train-loss 13604.0733 | lr 0.005000 | Time 2021-03-03 19:23:14
Epoch 002/024: train-loss 13350.0097 | lr 0.005000 | Time 2021-03-03 19:56:26
Epoch 003/024: train-loss 13190.0237 | lr 0.005000 | Time 2021-03-03 20:29:55
Epoch 004/024: train-loss 13087.2054 | lr 0.005000 | Time 2021-03-03 21:03:23
Epoch 005/024: train-loss 13013.0249 | lr 0.005000 | Time 2021-03-03 21:36:55
Epoch 006/024: train-loss 12954.3182 | lr 0.005000 | Time 2021-03-03 22:10:29
Epoch 007/024: train-loss 12910.1918 | lr 0.005000 | Time 2021-03-03 22:44:04
Epoch 008/024: train-loss 12878.6151 | lr 0.005000 | Time 2021-03-03 23:17:36
Epoch 009/024: train-loss 12843.9143 | lr 0.005000 | Time 2021-03-03 23:51:09
Epoch 010/024: train-loss 12352.7007 | lr 0.000500 | Time 2021-03-04 00:24:43
Epoch 011/024: train-loss 12274.7554 | lr 0.000500 | Time 2021-03-04 00:58:22
Epoch 012/024: train-loss 12241.1100 | lr 0.000500 | Time 2021-03-04 01:32:07
Epoch 013/024: train-loss 12215.2562 | lr 0.000500 | Time 2021-03-04 02:05:36
Epoch 014/024: train-loss 12195.5523 | lr 0.000500 | Time 2021-03-04 02:39:07
Epoch 015/024: train-loss 12177.7540 | lr 0.000500 | Time 2021-03-04 03:12:39
Epoch 016/024: train-loss 12159.3401 | lr 0.000500 | Time 2021-03-04 03:46:11
Epoch 017/024: train-loss 12144.3326 | lr 0.000500 | Time 2021-03-04 04:19:43
Epoch 018/024: train-loss 12068.1781 | lr 0.000050 | Time 2021-03-04 04:53:15
Epoch 019/024: train-loss 12057.6525 | lr 0.000050 | Time 2021-03-04 05:26:48
