Epoch 000/020: train-loss 15462.3527 | lr 0.005000 | Time 2021-03-11 16:42:25
Epoch 001/020: train-loss 14673.4270 | lr 0.005000 | Time 2021-03-11 17:23:57
Epoch 002/020: train-loss 14520.2300 | lr 0.005000 | Time 2021-03-11 18:05:17
Epoch 003/020: train-loss 14435.3215 | lr 0.005000 | Time 2021-03-11 18:47:07
Epoch 004/020: train-loss 14381.7891 | lr 0.005000 | Time 2021-03-11 19:28:27
Epoch 005/020: train-loss 14347.9608 | lr 0.005000 | Time 2021-03-11 20:09:47
Epoch 006/020: train-loss 14312.8467 | lr 0.005000 | Time 2021-03-11 20:51:11
Epoch 007/020: train-loss 14288.1463 | lr 0.005000 | Time 2021-03-11 21:32:23
Epoch 008/020: train-loss 14267.2898 | lr 0.005000 | Time 2021-03-11 22:13:52
Epoch 009/020: train-loss 14240.3437 | lr 0.005000 | Time 2021-03-11 22:55:22
Epoch 010/020: train-loss 13893.6392 | lr 0.000500 | Time 2021-03-11 23:37:14
Epoch 011/020: train-loss 13843.1438 | lr 0.000500 | Time 2021-03-12 00:18:52
Epoch 012/020: train-loss 13826.9697 | lr 0.000500 | Time 2021-03-12 01:00:34
Epoch 013/020: train-loss 13813.1634 | lr 0.000500 | Time 2021-03-12 01:41:57
Epoch 014/020: train-loss 13803.1396 | lr 0.000500 | Time 2021-03-12 02:23:21
Epoch 015/020: train-loss 13792.6237 | lr 0.000500 | Time 2021-03-12 03:04:43
Epoch 016/020: train-loss 13739.5945 | lr 0.000050 | Time 2021-03-12 03:46:20
Epoch 017/020: train-loss 13734.7850 | lr 0.000050 | Time 2021-03-12 04:27:56
Epoch 018/020: train-loss 13729.8738 | lr 0.000050 | Time 2021-03-12 05:09:22
Epoch 019/020: train-loss 13731.1761 | lr 0.000050 | Time 2021-03-12 05:50:44
