Epoch 000/020: train-loss 14751.9752 | lr 0.005000 | Time 2021-03-11 12:16:00
Epoch 001/020: train-loss 13901.7053 | lr 0.005000 | Time 2021-03-11 13:06:54
Epoch 002/020: train-loss 13658.6264 | lr 0.005000 | Time 2021-03-11 13:57:55
Epoch 003/020: train-loss 13534.7206 | lr 0.005000 | Time 2021-03-11 16:51:29
Epoch 004/020: train-loss 13457.4685 | lr 0.005000 | Time 2021-03-11 17:42:32
Epoch 005/020: train-loss 13392.0858 | lr 0.005000 | Time 2021-03-11 18:33:36
Epoch 006/020: train-loss 13335.4299 | lr 0.005000 | Time 2021-03-11 19:24:52
Epoch 007/020: train-loss 13306.5535 | lr 0.005000 | Time 2021-03-11 20:15:48
Epoch 008/020: train-loss 13269.1795 | lr 0.005000 | Time 2021-03-11 21:07:07
Epoch 009/020: train-loss 13238.6832 | lr 0.005000 | Time 2021-03-11 21:57:58
Epoch 010/020: train-loss 12828.0904 | lr 0.000500 | Time 2021-03-11 22:49:19
Epoch 011/020: train-loss 12777.3630 | lr 0.000500 | Time 2021-03-11 23:40:19
Epoch 012/020: train-loss 12747.2453 | lr 0.000500 | Time 2021-03-12 00:31:39
Epoch 013/020: train-loss 12735.6073 | lr 0.000500 | Time 2021-03-12 01:22:29
Epoch 014/020: train-loss 12719.6678 | lr 0.000500 | Time 2021-03-12 02:14:33
Epoch 015/020: train-loss 12707.8185 | lr 0.000500 | Time 2021-03-12 03:06:00
Epoch 016/020: train-loss 12645.9223 | lr 0.000050 | Time 2021-03-12 03:58:16
Epoch 017/020: train-loss 12641.6433 | lr 0.000050 | Time 2021-03-12 04:49:54
Epoch 018/020: train-loss 12639.6492 | lr 0.000050 | Time 2021-03-12 05:41:23
Epoch 019/020: train-loss 12633.5987 | lr 0.000050 | Time 2021-03-12 06:32:03
