Epoch 000/014: train-loss 17098.9500 | lr 0.005000 | Time 2021-03-15 00:54:32
Epoch 001/014: train-loss 16361.9392 | lr 0.005000 | Time 2021-03-15 01:17:27
Epoch 002/014: train-loss 16139.8544 | lr 0.005000 | Time 2021-03-15 01:40:38
Epoch 003/014: train-loss 15987.9925 | lr 0.005000 | Time 2021-03-15 02:03:47
Epoch 004/014: train-loss 15878.0213 | lr 0.005000 | Time 2021-03-15 02:26:56
Epoch 005/014: train-loss 15801.4054 | lr 0.005000 | Time 2021-03-15 02:49:58
Epoch 006/014: train-loss 15728.1130 | lr 0.005000 | Time 2021-03-15 03:13:11
Epoch 007/014: train-loss 15682.2429 | lr 0.005000 | Time 2021-03-15 03:36:27
Epoch 008/014: train-loss 15261.3144 | lr 0.000500 | Time 2021-03-15 03:59:28
Epoch 009/014: train-loss 15156.8364 | lr 0.000500 | Time 2021-03-15 04:22:31
Epoch 010/014: train-loss 15104.6817 | lr 0.000500 | Time 2021-03-15 04:45:44
Epoch 011/014: train-loss 15057.1686 | lr 0.000500 | Time 2021-03-15 05:08:35
Epoch 012/014: train-loss 14968.1694 | lr 0.000050 | Time 2021-03-15 05:31:41
Epoch 013/014: train-loss 14953.7099 | lr 0.000050 | Time 2021-03-15 05:54:49
